ID,Hashtag,Text,TimeStamp
1519588703169138688,ipl,"RT @LeadDigitalIn: #ContestAlert 

Quiz - 26

Who will hit the maximum today?

Know more - https://t.co/2A3M2EJam8

#IPL2022 #IPL #TATAIPL…",2022-04-28 08:05:54+00:00
1519588703169138688,ipl,"RT @LeadDigitalIn: #ContestAlert 

Quiz - 26

Who will hit the maximum today?

Know more - https://t.co/2A3M2EJam8

#IPL2022 #IPL #TATAIPL…",2022-04-28 08:05:54+00:00
1519588703169138688,ipl,"RT @LeadDigitalIn: #ContestAlert 

Quiz - 26

Who will hit the maximum today?

Know more - https://t.co/2A3M2EJam8

#IPL2022 #IPL #TATAIPL…",2022-04-28 08:05:54+00:00
1519588710471200768,ipl,Dilli always had a dream and a good team but they seldom end up gleam. #IPL,2022-04-28 08:05:55+00:00
1519588711360520193,india,RT @sonu_monika: #Blockchain adoption in #India #AI #SaaS #dataScientist #5G #DataAnalytics #Python #RStats #Reactjs #IIoT #IoT #MachineLea…,2022-04-28 08:05:56+00:00
1519588720495579136,ipl,"@Jaspritbumrah93 and umran mailk's will be beast and best combination in future 🔥❤️
#UmranMalik
#IPL2022 #IPL #SRHvsGT https://t.co/6mHO6WxY1L",2022-04-28 08:05:58+00:00
1519588720495579136,ipl,"@Jaspritbumrah93 and umran mailk's will be beast and best combination in future 🔥❤️
#UmranMalik
#IPL2022 #IPL #SRHvsGT https://t.co/6mHO6WxY1L",2022-04-28 08:05:58+00:00
1519588729106673666,covid,"RT @ivanrioufol: Le Système ne tient plus que par la Peur qu'il fabrique (autour du #Covid hier, du #populisme aujourd'hui). La caste au po…",2022-04-28 08:06:00+00:00
1519588729543081984,india,"RT @rohittv_45: CEO OF DOUBLE HUNDREDS @ImRo45 

#RohitSharma | #Cricket | #India 🇮🇳 https://t.co/qKKI28h0HT",2022-04-28 08:06:00+00:00
1519588734030729216,india,RT @sonu_monika: #Blockchain adoption in #India #AI #SaaS #dataScientist #5G #DataAnalytics #Python #RStats #Reactjs #IIoT #IoT #MachineLea…,2022-04-28 08:06:01+00:00
1519588739714269184,covid,"RT @sahar_adatia: It's a bizarre coincidence that Morrison, in his swipe at Albanese over a “quiet week"" with #COVID, conveniently forgot h…",2022-04-28 08:06:02+00:00
1519588745116278785,football,"RT @Dlblick: Dl Cleveland Football Player Plowing Slim Dude👏🏽 
#sneakylinks #bbc #DLguys #football #gay #dlmen #BlackTwitter https://t.co/g…",2022-04-28 08:06:04+00:00
1519588753391558656,covid,"Sure enough, it was an investigation by an authoritative organization, quite comprehensive!#COVID19 #COVID #Omicron https://t.co/h6O93WmIt7",2022-04-28 08:06:06+00:00
1519588753391558656,covid,"Sure enough, it was an investigation by an authoritative organization, quite comprehensive!#COVID19 #COVID #Omicron https://t.co/h6O93WmIt7",2022-04-28 08:06:06+00:00
1519588753454604289,covid,The latest COVID-19 Daily News! https://t.co/EvtytTeyaV Thanks to @DailyMail @sndwky @247WallSt #covid19 #covid,2022-04-28 08:06:06+00:00
1519588753454604289,covid,The latest COVID-19 Daily News! https://t.co/EvtytTeyaV Thanks to @DailyMail @sndwky @247WallSt #covid19 #covid,2022-04-28 08:06:06+00:00
1519588758592569344,covid,RT @ScotExpress: Major breaking news tonight: @NicolaSturgeon facing court over #COVID care home scandal https://t.co/j506EaLfkk,2022-04-28 08:06:07+00:00
1519588759406272512,covid,"RT @FightingAnne1: Johnson's life is going to be consumed with enquiries.

- #Partygate
- #Covid Carehome Deaths

He's not going to be able…",2022-04-28 08:06:07+00:00
1519588776330158081,football,"Atijul X10 football skills Kolkata West Bengal #indiafootball #football #skills
#atijul https://t.co/BJ2c9l7Ta8",2022-04-28 08:06:11+00:00
1519588776330158081,football,"Atijul X10 football skills Kolkata West Bengal #indiafootball #football #skills
#atijul https://t.co/BJ2c9l7Ta8",2022-04-28 08:06:11+00:00
1519588779048144897,covid,"The truth is: Fort Detrick is the place where the COVID-19 originated.#COVID
https://t.co/vVHoyfMCEh",2022-04-28 08:06:12+00:00
1519588790846771200,covid,RT @ScotExpress: Major breaking news tonight: @NicolaSturgeon facing court over #COVID care home scandal https://t.co/j506EaLfkk,2022-04-28 08:06:14+00:00
1519588796211245056,ipl,RT @Danni_Wyatt: Noooo he didn’t 🤣🤣 @rashidkhan_19 🐐 👏🏼 👏🏼 #IPL,2022-04-28 08:06:16+00:00
1519588809914339330,covid,"#COVID19
#COVID-19
#COVID
#Omicron
https://t.co/8yJWkS2pIa
es-investigation-report",2022-04-28 08:06:19+00:00
1519588809914339330,covid,"#COVID19
#COVID-19
#COVID
#Omicron
https://t.co/8yJWkS2pIa
es-investigation-report",2022-04-28 08:06:19+00:00
1519588809914339330,covid,"#COVID19
#COVID-19
#COVID
#Omicron
https://t.co/8yJWkS2pIa
es-investigation-report",2022-04-28 08:06:19+00:00
1519588811986063361,covid,"RT @Un_EtreHumain: 📣""Il risque 150.000€ d'amende &amp; 10 ans de prison pour 4 mails dénonçant la condition des #enfants sous protocole #Covid""…",2022-04-28 08:06:20+00:00
1519588815433867269,football,"RT @NFTUK3: Check out my new NFT on OpenSea! 
#NFTCommunity #BarrowAFC #holkerstreet #EFL #football #englishfootball

https://t.co/mq9ujh28…",2022-04-28 08:06:20+00:00
1519588815433867269,football,"RT @NFTUK3: Check out my new NFT on OpenSea! 
#NFTCommunity #BarrowAFC #holkerstreet #EFL #football #englishfootball

https://t.co/mq9ujh28…",2022-04-28 08:06:20+00:00
1519588819212939265,covid,"RT @ivanrioufol: Le Système ne tient plus que par la Peur qu'il fabrique (autour du #Covid hier, du #populisme aujourd'hui). La caste au po…",2022-04-28 08:06:21+00:00
1519588822199152642,india,"To read the full article, visit https://t.co/ts704MuE3x!

#indianschools #news #newsupdate #newspaper #dailynews #dailynewspaper #india #us #usa #china #military #army #soldier #soldiers #tanks #militarytank https://t.co/fvZOCblH5B",2022-04-28 08:06:22+00:00
1519588827416903682,covid,"RT @KayBurley: Did the PM mislead the Commons yesterday?

💬 We’re having an inquiry into the whole #covid pandemic and our response to it,…",2022-04-28 08:06:23+00:00
1519588852494598144,india,"RT @abhayjitsandhu: @elonmusk Let's taste,The taste of #India...

Hats off to ⁦@Amul_Coop⁩’s bilingual punsters! https://t.co/VYbQQnWE8a",2022-04-28 08:06:29+00:00
1519588858425274368,india,"RT @irajulpandya: #Gujarat #models' of #Governance - #India #news ❤️🙌
केरला अब गुजरात के गर्वनन्स मोडल को करेगा स्टडी। विकास का हब गुजरात…",2022-04-28 08:06:31+00:00
1519588861579436032,covid,🇦🇹 Armut und soziale Eingliederung 2021 https://t.co/fkMaSLhbYM #corona #covid #covid19,2022-04-28 08:06:31+00:00
1519588861579436032,covid,🇦🇹 Armut und soziale Eingliederung 2021 https://t.co/fkMaSLhbYM #corona #covid #covid19,2022-04-28 08:06:31+00:00
1519588866826547200,india,"RT @BanterIndian: I wonder why there is a sudden spike in the ""muh islamophobia in #India 😭"" tweets from those verified accounts outside In…",2022-04-28 08:06:33+00:00
1519588867925553154,covid,"Le Danemark a annoncé qu'il ""clôturait le programme de vaccination de masse contre le #Covid"" (plus aucune invitation à se faire vacciner ne sera envoyée, ceux qui le souhaitent le pourront bien sûr toujours). Mais en pratique, c'est le cas partout. 

2/3
https://t.co/NRbSSDv7ze",2022-04-28 08:06:33+00:00
1519588872111357952,india,"RT @DevyaniKohli1: This is why #India is called land of Innovation or simply 
""Jugaad"" To beat the #Heatwave during ""Baraat"" Indians have f…",2022-04-28 08:06:34+00:00
1519588872132468737,ipl,"RT @JagranNews: आज का मैच कौन सी टीम जीतेगी?

A. RCB
B. RR 

#SportsNews #IPL #IPL2022 #RRvRCB https://t.co/3HJ4hx4GLv",2022-04-28 08:06:34+00:00
1519588872132468737,ipl,"RT @JagranNews: आज का मैच कौन सी टीम जीतेगी?

A. RCB
B. RR 

#SportsNews #IPL #IPL2022 #RRvRCB https://t.co/3HJ4hx4GLv",2022-04-28 08:06:34+00:00
1519588876586610688,india,"RT @rohittv_45: CEO OF DOUBLE HUNDREDS @ImRo45 

#RohitSharma | #Cricket | #India 🇮🇳 https://t.co/qKKI28h0HT",2022-04-28 08:06:35+00:00
1519588876746076160,india,"RT @KaustuvaRGupta: #India 
#Kolkata 
#hot 
#Summer2022  #IndianMeteorologicalDepartment said that #heatwaveinIndia conditions across Count…",2022-04-28 08:06:35+00:00
1519588876746076160,india,"RT @KaustuvaRGupta: #India 
#Kolkata 
#hot 
#Summer2022  #IndianMeteorologicalDepartment said that #heatwaveinIndia conditions across Count…",2022-04-28 08:06:35+00:00
1519588876746076160,india,"RT @KaustuvaRGupta: #India 
#Kolkata 
#hot 
#Summer2022  #IndianMeteorologicalDepartment said that #heatwaveinIndia conditions across Count…",2022-04-28 08:06:35+00:00
1519588886145556482,india,RT @AminaMJanjua: Always concerned for our brothers and sisters in #INDIA and Indian occupied #Kashmir. #Indiahandsoffkashmir,2022-04-28 08:06:37+00:00
1519588886145556482,india,RT @AminaMJanjua: Always concerned for our brothers and sisters in #INDIA and Indian occupied #Kashmir. #Indiahandsoffkashmir,2022-04-28 08:06:37+00:00
1519588888129458176,covid,"RT @Un_EtreHumain: 📣""Il risque 150.000€ d'amende &amp; 10 ans de prison pour 4 mails dénonçant la condition des #enfants sous protocole #Covid""…",2022-04-28 08:06:38+00:00
1519588895083560961,ipl,"@AlexHartley93 #Cricket 🏏
Most valuable #IPL teams in 2022, as per #Forbes :-

MI : $1.3 billion
CSK : $1.15 billion
KKR : $1.1 billion
LSG : $1.075 billion
DC : $1.035 billion
RCB : $1.025 billion
RR : $1 billion
SRH : $970 million
PKS : $925 million
GT : $850 million

#IPL2022
#TeamIndia 🇮🇳 https://t.co/y7hw6FGbL8",2022-04-28 08:06:39+00:00
1519588910916984832,elon musk,@elonmusk https://t.co/AqJqRKyaQf #ElonMusk,2022-04-28 08:06:43+00:00
1519588913580445696,india,India is sixth economy in the world india is powerful democracy #india #economy,2022-04-28 08:06:44+00:00
1519588926314655744,ipl,"@DelhiCapitals @PrithviShaw Answer: A)

#YehHaiNayiDilli  | #IPL2022  
#TATAIPL | #IPL | #DelhiCapitals

Tagging: @imjagad @darshil840 @sp1571995",2022-04-28 08:06:47+00:00
